Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,24.626127990516455,24.626127990516455,24.503609940812392,24.608625411987305,1003200,29,4,4,1,1993
1993-02-01,24.62612435373209,24.783647537231445,24.62612435373209,24.783647537231445,480500,1,0,5,2,1993
1993-02-02,24.76615604672153,24.85366896561454,24.713648295385724,24.836166381835938,201300,2,1,5,2,1993
1993-02-03,24.871164141007217,25.116200240918616,24.853661562442117,25.098697662353516,529400,3,2,5,2,1993
1993-02-04,25.186225133472018,25.256235488255818,24.90618371433682,25.20372772216797,531500,4,3,5,2,1993
1993-02-05,25.18620491027832,25.23871263420524,25.04618431313987,25.18620491027832,492100,5,4,5,2,1993
1993-02-08,25.18620491027832,25.27371778348985,25.15119976099371,25.18620491027832,596100,8,0,6,2,1993
1993-02-09,25.098699498960734,25.098699498960734,24.95867886019387,25.011186599731445,122100,9,1,6,2,1993
1993-02-10,25.011179390193533,25.06368711459562,24.94116909099075,25.046184539794922,379600,10,2,6,2,1993
1993-02-11,25.081190203426612,25.27371853018006,25.081190203426612,25.168703079223633,19500,11,3,6,2,1993
1993-02-12,25.133696568789144,25.133696568789144,24.976173400878906,24.976173400878906,42500,12,4,6,2,1993
1993-02-16,24.90616705844421,24.90616705844421,24.31107944074421,24.346084594726562,374800,16,1,7,2,1993
1993-02-17,24.346089158641348,24.381094319185767,24.2410736770081,24.32858657836914,210900,17,2,7,2,1993
1993-02-18,24.608620898340828,24.608620898340828,23.978528186861265,24.311077117919922,378100,18,3,7,2,1993
1993-02-19,24.31107721096132,24.398590087890625,24.2760720601896,24.398590087890625,34900,19,4,7,2,1993
1993-02-22,24.468592858467893,24.521100568464608,24.39858257847228,24.486095428466797,513600,22,0,8,2,1993
1993-02-23,24.55611602090118,24.573618598250363,24.346085092711007,24.468603134155273,373700,23,1,8,2,1993
1993-02-24,24.48610374617711,24.783647537231445,24.48610374617711,24.783647537231445,26300,24,2,8,2,1993
1993-02-25,24.76615604672153,24.85366896561454,24.713648295385724,24.836166381835938,44500,25,3,8,2,1993
1993-02-26,24.88865735713736,24.88865735713736,24.748636781288486,24.87115478515625,66200,26,4,8,2,1993
1993-03-01,24.95866678866519,24.95866678866519,24.766138503479134,24.801143646240234,66500,1,0,9,3,1993
1993-03-02,24.818651576035542,25.168703079223633,24.783646425716736,25.168703079223633,182400,2,1,9,3,1993
1993-03-03,25.203699973151295,25.291212820280293,25.168694834299696,25.273710250854492,280100,3,2,9,3,1993
1993-03-04,25.308732861595896,25.308732861595896,25.13370704650879,25.13370704650879,89500,4,3,9,3,1993
1993-03-05,25.168690324495625,25.273705722233437,25.046172360468177,25.063674926757812,40000,5,4,9,3,1993
1993-03-08,25.116191346788668,25.62376594543457,25.116191346788668,25.62376594543457,50800,8,0,10,3,1993
1993-03-09,25.571275309718906,25.588777893777575,25.483762389425547,25.536270141601562,169300,9,1,10,3,1993
1993-03-10,25.536250756312004,25.58875846862793,25.43123533168015,25.58875846862793,194400,10,2,10,3,1993
1993-03-11,25.60626209452646,25.676272380499192,25.483744094074183,25.518749237060547,70900,11,3,10,3,1993
1993-03-12,25.30874097669447,25.32624356381528,25.09870993124472,25.25623321533203,643600,12,4,10,3,1993
1993-03-15,25.23870639669484,25.378726959228516,25.23870639669484,25.378726959228516,310800,15,0,11,3,1993
1993-03-16,25.378726959228516,25.44873724049535,25.378726959228516,25.378726959228516,30800,16,1,11,3,1993
1993-03-17,25.343730420887592,25.343730420887592,25.18620723456992,25.22121238708496,21800,17,2,11,3,1993
1993-03-18,25.326219248278388,25.48374238112877,25.326219248278388,25.378726959228516,59300,18,3,11,3,1993
1993-03-19,25.481012039925805,25.481012039925805,25.340330123901367,25.340330123901367,66900,19,4,11,3,1993
1993-03-22,25.09413076961115,25.25239788728915,25.0765455343136,25.199642181396484,183400,22,0,12,3,1993
1993-03-23,25.269992315669576,25.287577557364546,25.217236590584672,25.25240707397461,55200,23,1,12,3,1993
1993-03-24,25.217236590584672,25.35791852414442,25.09413989871989,25.25240707397461,37200,24,2,12,3,1993
1993-03-25,25.269998801208285,25.463436509498678,25.23482830879185,25.410680770874023,110100,25,3,12,3,1993
1993-03-26,25.393087606091587,25.41067284681603,25.252405680296068,25.269990921020508,101500,26,4,12,3,1993
1993-03-29,25.287575431606957,25.498598314207293,25.287575431606957,25.37550163269043,87100,29,0,13,3,1993
1993-03-30,25.41066654814303,25.445837020874023,25.375496075412034,25.445837020874023,56000,30,1,13,3,1993
1993-03-31,25.516181274403507,25.58652222898491,25.428255081176758,25.428255081176758,111600,31,2,13,3,1993
1993-04-01,25.46342680042275,25.46342680042275,25.287574405392206,25.340330123901367,129500,1,3,13,4,1993
1993-04-02,25.12929160606768,25.12929160606768,24.81275749206543,24.81275749206543,59400,2,4,13,4,1993
1993-04-05,25.006212086536316,25.006212086536316,24.86553016199884,24.935871124267578,172200,5,0,14,4,1993
1993-04-06,24.988630530857805,24.988630530857805,24.79519285609395,24.86553382873535,129700,6,1,14,4,1993
1993-04-07,24.900689735977142,24.953445434570312,24.84793403738397,24.953445434570312,28000,7,2,14,4,1993
1993-04-08,25.058978800211648,25.058978800211648,24.812785324279744,24.918296813964844,180800,8,3,14,4,1993
1993-04-12,25.164479476673865,25.287576161744948,25.129308995224985,25.269990921020508,348500,12,0,15,4,1993
1993-04-13,25.252401510874428,25.410668651262917,25.234816273053486,25.322742462158203,146100,13,1,15,4,1993
1993-04-14,25.340341955299007,25.357927203012608,25.270000964444602,25.287586212158203,119600,14,2,15,4,1993
1993-04-15,25.270000964444602,25.340341955299007,25.182074725876596,25.287586212158203,148600,15,3,15,4,1993
1993-04-16,25.305171459871804,25.340341955299007,25.252415716731,25.287586212158203,47900,16,4,15,4,1993
1993-04-19,25.287573582633247,25.357914538356845,25.164476910116953,25.18206214904785,157000,19,0,16,4,1993
1993-04-20,25.146903362608793,25.18207385682223,24.90070990311472,25.058977127075195,279500,20,1,16,4,1993
1993-04-21,25.111732359682577,25.111732359682577,24.971050385678755,25.041391372680664,67900,21,2,16,4,1993
1993-04-22,24.93587837110712,25.14690131924061,24.724855422973633,24.724855422973633,97700,22,3,16,4,1993
1993-04-23,24.672090892791747,24.74243185043335,24.584164695739744,24.619335174560547,106000,23,4,16,4,1993
1993-04-26,24.636937786127014,24.724864045178144,24.35557375716339,24.425914764404297,62600,26,0,17,4,1993
1993-04-27,24.390715907441926,24.689664840698242,24.390715907441926,24.689664840698242,156800,27,1,17,4,1993
1993-04-28,24.654509986153165,24.707265713655634,24.601754258650697,24.636924743652344,85900,28,2,17,4,1993
1993-04-29,24.689679729404734,24.742435455322266,24.54899779362465,24.742435455322266,85000,29,3,17,4,1993
1993-04-30,24.830362692210926,24.918288905710256,24.777606964111328,24.777606964111328,88500,30,4,17,4,1993
1993-05-03,24.812774440297286,24.935871124267578,24.70726299689418,24.935871124267578,80500,3,0,18,5,1993
1993-05-04,24.988625602159214,25.11172228000236,24.953455122775456,25.02379608154297,149100,4,1,18,5,1993
1993-05-05,25.023792428576034,25.182059562699145,25.023792428576034,25.094133377075195,109000,5,2,18,5,1993
1993-05-06,25.058950754157603,25.07653598275701,24.988609839759967,25.006195068359375,54700,6,3,18,5,1993
1993-05-07,25.023786366027874,25.023786366027874,24.91827496884153,24.953445434570312,68000,7,4,18,5,1993
1993-05-10,24.988609839759967,25.146876897154648,24.988609839759967,25.006195068359375,113900,10,0,19,5,1993
1993-05-11,25.006217203220398,25.11172866821289,24.93587622655874,25.11172866821289,42600,11,1,19,5,1993
1993-05-12,25.006208577630897,25.094134768128896,25.006208577630897,25.076549530029297,31000,12,2,19,5,1993
1993-05-13,24.971044633809854,24.971044633809854,24.760021721411462,24.777606964111328,129100,13,3,19,5,1993
1993-05-14,24.777593091130257,24.847934022545815,24.742422625422478,24.760007858276367,63500,14,4,19,5,1993
1993-05-17,24.830364737541053,24.847949981689453,24.724853272650652,24.847949981689453,34000,17,0,20,5,1993
1993-05-18,24.865530894768476,24.883116135853886,24.74243420717061,24.830360412597656,105200,18,1,20,5,1993
1993-05-19,24.830358178312792,25.340330123901367,24.672091022785303,25.340330123901367,50200,19,2,20,5,1993
1993-05-20,25.340339786041156,25.410680770874023,25.2875840474165,25.410680770874023,98200,20,3,20,5,1993
1993-05-21,25.428255494080442,25.46342597194224,25.164476910116953,25.18206214904785,221400,21,4,20,5,1993
1993-05-24,25.2348304690174,25.37551245072621,25.2348304690174,25.287586212158203,30500,24,0,21,5,1993
1993-05-25,25.39308584241053,25.39308584241053,25.340330123901367,25.340330123901367,191800,25,1,21,5,1993
1993-05-26,25.410672704841765,25.674451314234584,25.393087464215576,25.6568660736084,102400,26,2,21,5,1993
1993-05-27,25.69203589018306,25.69203589018306,25.533768728641892,25.568939208984375,53800,27,3,21,5,1993
1993-05-28,25.551348439067006,25.551348439067006,25.322740366315546,25.445837020874023,79100,28,4,21,5,1993
1993-06-01,25.533755245639558,25.779948478035532,25.498584783868704,25.6920223236084,28300,1,1,22,6,1993
1993-06-02,25.62169559235602,25.744792276739336,25.516184148598892,25.6568660736084,20300,2,2,22,6,1993
1993-06-03,25.604109689326858,25.604109689326858,25.516183488470652,25.568939208984375,21600,3,3,22,6,1993
1993-06-04,25.498595675408552,25.498595675408552,25.375499006630715,25.48101043701172,32000,4,4,22,6,1993
1993-06-07,25.533761640004503,25.533761640004503,25.39307975769043,25.39307975769043,121400,7,0,23,6,1993
1993-06-08,25.32276081589033,25.32276081589033,25.164493560791016,25.164493560791016,104500,8,1,23,6,1993
1993-06-09,25.25240707397461,25.35791852414442,25.217236590584672,25.25240707397461,43300,9,2,23,6,1993
1993-06-10,25.234820439571628,25.287576161744948,25.18206471739831,25.269990921020508,17900,10,3,23,6,1993
1993-06-11,25.357916392473737,25.41067211312382,25.269990191390264,25.37550163269043,647400,11,4,23,6,1993
1993-06-14,25.410671081913584,25.42825632141664,25.340330123901367,25.340330123901367,64200,14,0,24,6,1993
1993-06-15,25.37551245072621,25.39309769843981,25.287586212158203,25.287586212158203,142400,15,1,24,6,1993
1993-06-16,25.287574405392206,25.340330123901367,25.217233447379986,25.340330123901367,330900,16,2,24,6,1993
1993-06-17,25.393084603886056,25.428255081176758,25.340328887950005,25.428255081176758,37400,17,3,24,6,1993
1993-06-18,25.413673084773375,25.413673084773375,25.21886444091797,25.21886444091797,58500,18,4,24,6,1993
1993-06-21,25.289688244012996,25.289688244012996,25.236558646861706,25.2719783782959,29300,21,0,25,6,1993
1993-06-22,25.307411336765234,25.307411336765234,25.254281711845504,25.289701461791992,137500,22,1,25,6,1993
1993-06-23,25.289697562173902,25.289697562173902,25.05946922302246,25.05946922302246,227600,23,2,25,6,1993
1993-06-24,25.130298526716032,25.395946502685547,25.130298526716032,25.395946502685547,243700,24,3,25,6,1993
1993-06-25,25.378232955932617,25.449072405914286,25.3605230934372,25.378232955932617,44800,25,4,25,6,1993
